label,pattern
fleshy,berries
fleshy,berry
fleshy,drupe
fleshy,drupes
fleshy,pome
fleshy,pome
fleshy,pomes
fleshy,stone
fleshy,stones
simple,achene
simple,achenes
simple,capsule
simple,capsules
simple,caryopses
simple,caryopsis
simple,cypsela
simple,cypselae
simple,drupe
simple,drupes
simple,follicle
simple,follicles
simple,hesperidia
simple,hesperidium
simple,legume
simple,legumes
simple,loment
simple,loments
simple,lomentum
simple,nut
simple,nuts
simple,pepo
simple,pepos
simple,samara
simple,samaras
simple,schizocarp
simple,schizocarps
simple,silicle
simple,silicles
simple,siliqua
simple,siliquae
simple,silique
simple,siliques
simple,utricle
simple,utricles
