label,pattern,replace
fruit_part,beak,beak
fruit_part,beaks,beak
fruit_part,carpopodium,carpopodium
fruit_part,carpopodiums,carpopodium
fruit_part,carpopodia,carpopodium
fruit_part,cocci,coccus
fruit_part,coccus,coccus
fruit_part,elaiosome,elaiosome
fruit_part,elaiosomes,elaiosome
fruit_part,endocarp,endocarp
fruit_part,endocarps,endocarp
fruit_part,endoglossum,endoglossum
fruit_part,floral,floral
fruit_part,florals,floral
fruit_part,foliaceous,leaf
fruit_part,mericarp,mericarp
fruit_part,mericarps,mericarp
fruit_part,mesocarp,mesocarp
fruit_part,mesocarps,mesocarp
fruit_part,ostiole,ostiole
fruit_part,ostioles,ostiole
fruit_part,pappus,pappus
fruit_part,pappi,pappus
fruit_part,pericarp,pericarp
fruit_part,pericarps,pericarp
fruit_part,prior-to-capsule,
fruit_part,pulp,pulp
fruit_part,pulps,pulp
fruit_part,pyrene,pyrene
fruit_part,pyrenes,pyrene
fruit_part,scale,scale
fruit_part,scales,scale
fruit_part,stylar,stylar
fruit_part,vitta,vitta
fruit_part,wing,wing
fruit_part,wings,wing
fruit_part,winglet,winglet
fruit_part,winglets,winglet
fruit_type,achene,fruit
fruit_type,achenes,fruit
fruit_type,berries,fruit
fruit_type,berry,fruit
fruit_type,capsule,fruit
fruit_type,capsules,fruit
fruit_type,caryopses,fruit
fruit_type,caryopsis,fruit
fruit_type,cypsela,fruit
fruit_type,cypselae,fruit
fruit_type,drupe,fruit
fruit_type,drupes,fruit
fruit_type,follicle,fruit
fruit_type,follicles,fruit
fruit_type,fruit,fruit
fruit_type,fruits,fruit
fruit_type,hesperidia,fruit
fruit_type,hesperidium,fruit
fruit_type,legume,fruit
fruit_type,legumes,fruit
fruit_type,loment,fruit
fruit_type,loments,fruit
fruit_type,lomentum,fruit
fruit_type,nut,fruit
fruit_type,nuts,fruit
fruit_type,pepo,fruit
fruit_type,pepos,fruit
fruit_type,pome,fruit
fruit_type,pomes,fruit
fruit_type,samara,fruit
fruit_type,samaras,fruit
fruit_type,schizocarp,fruit
fruit_type,schizocarps,fruit
fruit_type,silicle,fruit
fruit_type,silicles,fruit
fruit_type,siliqua,fruit
fruit_type,siliquae,fruit
fruit_type,silique,fruit
fruit_type,siliques,fruit
fruit_type,stone,fruit
fruit_type,stones,fruit
fruit_type,utricle,fruit
fruit_type,utricles,fruit
inner_adj,atypical,
